,week_begin,weekly_entries,cases
0,2020-02-24,443.0,0
1,2020-03-02,938.0,0
2,2020-03-09,694.0,0
3,2020-03-16,235.0,4
4,2020-03-23,101.0,30
5,2020-03-30,74.0,96
6,2020-04-06,61.0,114
7,2020-04-13,62.0,88
8,2020-04-20,66.0,61
9,2020-04-27,73.0,45
10,2020-05-04,78.0,26
11,2020-05-11,86.0,16
12,2020-05-18,93.0,12
13,2020-05-25,96.0,10
14,2020-06-01,111.0,7
15,2020-06-08,134.0,5
16,2020-06-15,147.0,3
17,2020-06-22,170.0,3
18,2020-06-29,165.0,2
19,2020-07-06,182.0,1
20,2020-07-13,197.0,1
21,2020-07-20,198.0,1
22,2020-07-27,201.0,1
23,2020-08-03,204.0,1
24,2020-08-10,207.0,1
25,2020-08-17,218.0,0
26,2020-08-24,218.0,1
27,2020-08-31,244.0,1
28,2020-09-07,241.0,0
29,2020-09-14,273.0,1
30,2020-09-21,276.0,0
31,2020-09-28,274.0,1
32,2020-10-05,281.0,1
33,2020-10-12,269.0,1
34,2020-10-19,284.0,1
35,2020-10-26,303.0,1
